num|nb_reactions|nb_commentaires|text_post
34|2|0| attendez un peu... Vous dites que le problème est qu'il y a trop de monde sur terre alors qu'Oxfam sort une étude indiquant que les 1% les plus riches (donc vous) consomment plus et rejettent plus de CO2 que les 50% les plus pauvres ? Et c'est moi qui suis caricatural ? Dissonance cognitive quant tu nous tiens....
35|1|0|Absolument d'accord avec vous Philippe, le premier problème aujourd'hui est la surpopulation. Nos "amis" écologistes feraient mieux de proposer des mesures sur ce sujet que de vouloir ramener la planète à l'âge de pierre, un âge de pierre qui d'ailleurs ne permettrait pas de faire vivre le nombre d'êtres humains qui explose de manière inconsidérée.
36|2|0|Que toute cette idéologie pernicieuse et castratrice peut être pesante, ne trouvez-vous pas ?Et puis il faut interdire les élevages d'animaux, les zoos, les corridas, la chasse, les déplacements de longue distance en voiture, l'air conditionnée, les feux de cheminée, les barbecues, etc, etc,...Puis ce seront les baignades en mer car ça pollue, les promenades en forêt car ça dérange la faune et écrase les fleurs, l'alpinisme car ça dérange la faune d'alititude et érode les sols, les piscines municipales car trop consommatrices d'énergie, etc, etc. C'est sans fin... Ecologie = liste interminable d'interdictions = soviétisme marxo-frustrateur.Vous souhaite une agréable semaine...de liberté.Recevez mes salutations distinguées.
37|0|0|le 1et problème est que nous sommes trop nombreux  !  Bizarre comme argument voir dangereux 
38|0|0|En tant que pilote de ligne, emmener 200 personnes profiter de vacances en famille me semble un compromis acceptable avec l'enjeu climatique. Mais quand j'entend des collègues me raconter qu'ils devaient prendre un boeing 737  et traverser l'Atlantique chaque mois pour emmener le toutou de madame Richou chez LE vétérinaire à New York et revenir après la consultation.  Et d'un, il y a des baffes qui se perdent et de deux, OUI, il est grand temps de mettre de la régulation pour ces personnes. Ne comptez pas sur eux pour le faire d'eux même.
39|64|9| tout à fait d'accord sur le principe de réduire nos émissions mais on s'arrête où pour autoriser ou interdire l'utilisation de tel ou tel moyen de transport ?A force d'interdire cela va s'appeler de la dictature !
40|16|0|le classique chantage à l'emploi, heureusement j'ai déjà écrit dessus pour éviter de répéter 100x la même chose... ;) 
41|3|0| tout à fait d'accord sur le principe de réduire nos émissions mais on s'arrête où pour autoriser ou interdire l'utilisation de tel ou tel moyen de transport ?A force d'interdire cela va s'appeler de la dictature !
42|11|0|Avoir comme ambition la baisse de la température estivale en France au travers d'une micro mesure ...impressionant ...quelle vision stratégique ...encore un épisode de show politique stérile - interdire ou ? Sur le territoire ? Les jets déclarés en France ? Tout cela sera très vite contourné .....donc inutile ....un peu de pragmatisme : il faut d abord convaincre les États Unis et la Chine d actions climatiques sinon le reste ne sert strictement a rien a l échelle de la planète sinon a avoir bonne conscience - au delà il faut traiter la production énergétique en priorité ....je vous conseille d installer des panneaux solaires dans votre jardin ...
43|0|0|Incroyable !!
44|2|0|Combien d’heures de jet privé font les grands patrons en France et quelle richesse apportent-ilsCombien d’heures de vols faisons-nous nous qu’une sommes pas des grands patrons et qui partons au loin pour se bronzer la pillule ou encore visiter les pays pauvres Ça rapporte quoi à notre société ces vols low-cost ?Je n’ai pas de jet privé mais j’ai bénéficié quand j’étais salarié de la gestion de grands patronsJe découvre l’Europe et la France et je ne vais plus au bout du mondeEt surtout je ne suis ni jaloux ni aigri.
45|0|0| le gros problème dans votre post est 1 mot ... 1 seul : "sérieux". C'est le point clé pour s'en sortir. Hélas nous ne sommes pas du tout sérieux. J'entends tous les arguments possibles pour SURTOUT ne rien faire.
46|9|0|Les gens en commentaires, vous me fatiguez à un point pas possible. Suivez un peu les débats à l'assemblée au lieu de râler que la mesure est "démagogique", qu'il faudrait "commencer par ceci plutôt que cela". Il faut agir sur tous les sujets en même temps, et c'est ce que proposent les écologistes. Là il se trouve que ça vise les sacro saints riches que personne n'a apparemment le droit de critiquer, au prétexte que "eux ils ont réussi dans la vie, et ils donnent des emplois et gnagnagna". Posez-vous la question suivante: Est-ce que les jets privés sont nécessaires ? Non.Est-ce que ça émet beaucoup de GES ? Oui.Donc, on arrête et c'est marre ! Et ça vaut pour TOUTES les activités et TOUT le monde, pas uniquement les riches bien sur, et Julien Bayou et ses collègues ne proposent pas UNIQUEMENT des mesures qui touchent les riches, alors arrêtez de couiner. Nous avons le devoir de nous modérer pour préserver notre environnement, pour les générations futures. La planète s'en branle de notre "liberté", de nos "loisirs" et de notre "économie". Je dois le dire tous les jours en ce moment mais je vais le redire: "Le climat se fiche de nos caprices, l'inverse n'est pas vrai."
47|2|1|Il n’y a pas que de riches milliardaires dans l’aviation d’affaires ! Il y a bcp de propriétés partagées, des patrons de PME qui ne peuvent pas voyager facilement en évitant Paris, des personnes envoyées en urgence pour réparer, dépanner un site industriel.On ne peut empêcher la possession ou l’usage: les avions peuvent être immatriculés hors de France (ce qui est déjà  le cas), et on ne va pas interdire l’espace aérien 🇫🇷.  Le détour serait un plus grand non sens écologique !!!Les mouvements d’avions font déjà l’objet de restrictions (par exemple, catégorie basée sur la pollution sonore). Les pistes sont multiples pour mettre en place des mesures soutenant activement un aérien moins polluant.
48|1|0|Il n’y a pas que de riches milliardaires dans l’aviation d’affaires ! Il y a bcp de propriétés partagées, des patrons de PME qui ne peuvent pas voyager facilement en évitant Paris, des personnes envoyées en urgence pour réparer, dépanner un site industriel.On ne peut empêcher la possession ou l’usage: les avions peuvent être immatriculés hors de France (ce qui est déjà  le cas), et on ne va pas interdire l’espace aérien 🇫🇷.  Le détour serait un plus grand non sens écologique !!!Les mouvements d’avions font déjà l’objet de restrictions (par exemple, catégorie basée sur la pollution sonore). Les pistes sont multiples pour mettre en place des mesures soutenant activement un aérien moins polluant.
49|0|0|C'est plus vendeur de communiquer sur les jets (qui restent effectivement un sujet à traiter) que sur des sujets de fond comme les camions et le fret ferroviaire par exemple ou le prix des transports en commun qui nécessitent un peu plus de travail.
50|0|0|Le niveau de revenus de ces personnes est à la racine du problème. Et si on va plus profond,  un modèle de société qui te permet de gagner autant d'argent est de fait anti écologique, car basé sur une exploitation tjrs plus intensive des ressources naturelles. 
51|2|1|Tout à fait cher Johan, j’aimerais aussi recevoir de l’information “pondérée” (i.e mise en perspective avec des statistiques globales comme dans le tableau ci-dessous) plus que “pour le buzz” (i.e name and shame de [insérer nom random d’un riche individu]). Je pense aussi qu’une approche froidement numérique et moins émotionnelle (name and shame) nous permettrait de concentrer optimalement nos efforts pour l’environnement, mais peut être qu’en matière de communication et d’éveil des consciences l’inverse est plus efficace
52|1|0|Tout à fait cher Johan, j’aimerais aussi recevoir de l’information “pondérée” (i.e mise en perspective avec des statistiques globales comme dans le tableau ci-dessous) plus que “pour le buzz” (i.e name and shame de [insérer nom random d’un riche individu]). Je pense aussi qu’une approche froidement numérique et moins émotionnelle (name and shame) nous permettrait de concentrer optimalement nos efforts pour l’environnement, mais peut être qu’en matière de communication et d’éveil des consciences l’inverse est plus efficace
53|0|0|
54|0|0|« Liberté égalité fraternité » Le calcul de la responsabilité..,éduquer !Assure de Khmers ou de Robespierre ou…ou…
55|0|0|Tout simplement il faudra encourager massivement les mesures coercitives pour réduire les émissions de CO2 par les moyens de transport aérien privés ! Ou leur imposer des quotas de CO2 par an par exemple ! Des niveaux de taxes suffisamment élevés permettraient de réduire ces voyages en 🛩 privé au minimum nécessaire en attendant des alternatives pour des propulseurs plus propres en H2 par exemple ! Ces taxes serviront peut-être à investir dans la recherche ciblée pour trouver ce types de propulseurs plus respectables de l’environnement que leurs usagers actuelles,…
56|0|0|N’importe quoi
57|2|0|Mesure d'autant plus essentielle que pour l'instant la taxe sur le carburant prévue par l'Union Européenne ne s'appliquerait pas sur les jet privés. Source: 
58|0|0|il faut clairement interdire les jets et yacht il faut reaprendre a vivre plus simplement eux roulent en jet pendant qu on nous dit qu on doit se chauffer a 18 degres ba tiens ..... mais y a pas que ca les croisieres en bateaux les yachts les voitures de luxe les muscles car les dragster tout ca merite l attention et la rebellion du peuple du monde....
59|0|0|:-/ 
60|1|4|Très bonne réponse, merci pour cette formulation !
61|0|0|Vous admettez donc n'avoir aucune idée propre sur ce qu'il faudrait faire, mais affirmez dans le même temps vous en remettre à l'innovation technologique (incertaine) pour nous sortir le cul des ronces. C'est merveilleux tant d'engagement pour préserver quelque chose qui dessert l'humanité dans son ensemble. Il y a pourtant un truc simple à mettre en place: - Interdire tant que ça n'est pas soutenable. - Réautoriser quand ça le sera de nouveau. Cette solution devrait vous contenter, et les écologistes aussi.
62|0|0| Ya ka faux con :)
63|0|0| Oui, cela vous correspond parfaitement.
64|0|0|Très bonne réponse, merci pour cette formulation !
65|0|0|Je suis plutôt pour mettre des impôts sur l'utilisation des jets privés et utiliser ces impôts pour développer le transport en commun ou l'infrastructure pour les mobilités douces.
66|1|0|Encore une confusion entre la véritable action contre le réchauffement climatique et la haine des riches. Même confusion entre l'écologie de terrain et l'idéologie escrologiste, devenue une arme de terreur et d'extremisme. Revenons à la raison des chiffres, n'en déplaise aux contestataires revendicatifs. Examinons si vous le voulez bien le coût écologique du kwh électrique, ainsi que le coût sociétal exorbitant du véhicule électrique dans son ACV. Je me tiens prêt à contribuer, sans haine ni a priori. Pauvre France 
67|0|0|Interdisons les politiciens car ils émettent beaucoup trop de CO2 en ouvrant la bouche constamment pour ne rien dire d’intelligent ! Pollueurs !
68|0|0|Et une proposition de loi modifiant les normes internationales stipulant que tout produit fabriqué devrait être obligatoirement 100% recyclable aurait sans doute un impact plus grand et modifierait notre rapport de consommation... Tout en créant de l'emploi. 
69|1|5|Les mêmes qui ont décidé qui exerce un métier indispensable ou non, les mêmes qui vous emmerdent ou pas, les mêmes qui vous accordent la légalité selon le nombre de picouses acceptées par vous mais surtout les mêmes qui leur donnent raison ou peut être que cela pourrait être ceux qui essayent sincèrement de trouver une compatibilité entre l'activité humaine et le rétablissement de l'équilibre naturel de son environnement ? Dans le premier cas nous sommes très mal partis, même pas partis de tout d'ailleurs, dans le second nous avons peut être une chance.
70|0|0|Je ne suis pas d'accord avec vous. L'accord de Paris sur le climat engage l'humanité vers une stabilisation du climat, c'est à dire des émissions de gaz à effet de serre inférieures ou égales à la capacité d'absorption des puits de carbone disponibles. L'ordre de grandeur est de 2 tonnes de CO2 par an et par personne, ce qui peut couvrir beaucoup plus que ce que vous évoquez.La question ne doit selon moi pas porter exclusivement sur les individus, mais il faut bien reconnaître que des inégalités aussi criantes sont un frein à l'acceptabilité de mesures plus larges et également nécessaires (investissement dans des pompes à chaleur, réduction du nb de km parcourus par des véhicules thermiques grâce au covoiturage, investissements dans la filière électronucléaire... 😉).Je pense que ce travail (qui se lit très facilement !) vous intéressera. C'est co-écrit par  et ça permet, concrètement, de comprendre en quoi les voies possibles sont tout à fait désirables et atteignables. Réduire l'utilisation de transports carbonés par les entreprises (c'est ce dont on parle ici principalement) participe à l'atteinte collective de nos objectifs : 
71|0|0| et qui va choisir ce qui est autorisé et ce qui ne l’est pas? Et qui va imposer aux autres pays leur mode de vie et leur mode de consommation?
72|0|0|Vous, moi, toutes celles et ceux qui vivent en société ?Ce qu'il faut retenir selon moi c'est que l'accord de Paris relève d'un *but*, le choix des moyens a mettre en œuvre et des décisions à prendre pour l'atteindre relève des sociétés/pays qui s'y sont engagés. Ne pas faire d'efforts dans un secteur, c'est accepter d'en faire plus ailleurs.Pour la France, j'espère sincèrement qu'autant de personnes que possibles s'intéressent au sujet et s'impliquent dans la définition de notre trajectoire commune. C'est pour ça que les messages poussant à l'inaction en sous-entendant qu'il s'agit de décisions subies me dérangent profondément, car ils nous font perdre du temps et rendront les choix de demain encore plus difficiles (c'est les émissions cumulées qui définissent le climat auquel nous auront droit, renoncer à des économies de CO2 aujourd'hui c'est augmenter la pression sur nos activités demain).Quant aux autres pays, la société civile dans les démocraties et plus généralement notre diplomatie ont un rôle à jouer. Vous et moi également : donnons envie aux autres de faire comme nous, qu'il s'agisse d'énergie nucléaire ou d'autres choix de société 😊
73|0|0| commençons par interdire toute vente sur Internet ce qui supprimera Amazon et toute plateforme de livraison, cartons en tt genre, etc… supprimons tous les véhicules dont la consommation est supérieure à 6l/100 km, supprimons toutes les plateformes de livraisons de repas. Pourquoi se faire livrer une pizza alors que 2 œufs sur le plat c’est meilleur au goût et à la santé!
74|0|0|Les mêmes qui ont décidé qui exerce un métier indispensable ou non, les mêmes qui vous emmerdent ou pas, les mêmes qui vous accordent la légalité selon le nombre de picouses acceptées par vous mais surtout les mêmes qui leur donnent raison ou peut être que cela pourrait être ceux qui essayent sincèrement de trouver une compatibilité entre l'activité humaine et le rétablissement de l'équilibre naturel de son environnement ? Dans le premier cas nous sommes très mal partis, même pas partis de tout d'ailleurs, dans le second nous avons peut être une chance.
75|4|1|On peut dénoncer tout en même temps
76|1|0|On peut dénoncer tout en même temps
77|6|5|Votre post vous semblait caricatural, et pourtant dieu sait que les piscines privées, chlorées à mort et hyper consommatrices d'eau sont à bannir. Plus nous accepterons vite l'idée que notre mode de vie nous emmène collectivement droit dans le mur, plus vite nous nous adapterons, moins la douleur sera grande. À ne rien vouloir changer, à tout qualifier comme étant de la démagogie, vous freinez un processus nécessaire pour la sauvegarde de l'environnement, et donc, l'avenir de vos enfants, petits enfants et arrières petits enfants. Non ce n'est pas catastrophiste, non ça n'est pas exagéré, c'est très exactement ce qu'il va se passer. Donc prenez dès aujourd'hui acte que TOUT va devoir être remis en question. Nous sommes tous adultes, c'est notre devoir de bien faire les choses pour nos gosses, et les leurs, si nous ratons le coche, leur génération à eux ne pourra plus rien faire.
78|1|0|Quand l'eau et l'énergie deviennent rares et chères, la proposition mérite d'être étudiée. Après tout,  on pourrait même convertir ces piscines en potagers urbains. 
79|0|0|, c est dans quelle pays Utopie ??
80|1|0|Ça me paraît une bonne idée d'interdire les piscines privées... Ça consomme beaucoup d'eau et ça rejette du chlore néfaste pour les rivières, pour le confort de quelques privilégiés 
81|0|0| l'Utopie, le début du Changement !
82|2|0|Votre post vous semblait caricatural, et pourtant dieu sait que les piscines privées, chlorées à mort et hyper consommatrices d'eau sont à bannir. Plus nous accepterons vite l'idée que notre mode de vie nous emmène collectivement droit dans le mur, plus vite nous nous adapterons, moins la douleur sera grande. À ne rien vouloir changer, à tout qualifier comme étant de la démagogie, vous freinez un processus nécessaire pour la sauvegarde de l'environnement, et donc, l'avenir de vos enfants, petits enfants et arrières petits enfants. Non ce n'est pas catastrophiste, non ça n'est pas exagéré, c'est très exactement ce qu'il va se passer. Donc prenez dès aujourd'hui acte que TOUT va devoir être remis en question. Nous sommes tous adultes, c'est notre devoir de bien faire les choses pour nos gosses, et les leurs, si nous ratons le coche, leur génération à eux ne pourra plus rien faire.
83|4|0|Pourquoi faire dans la demi-mesure et le symbole ? Clouons tous les avions au sol, mettons à quai les bateaux de croisières, les porte-containers, les super tankers, fermons les fast food, interdisons les piscines individuelles, interdisons les clims, interdisons la data, etc. 
84|0|0|Je ne suis à fond pour protéger notre planète 🌎, et pas pas que la France. Je suis contre le fait du TOUT ou RIEN car ça n’apporte pas de solution viable. Il faut s’adapter et repenser les modèles avec les réalités indispensables, essentielles 😉 et lâcher le reste. Rester dans la construction pour hashtag#protection de notre hashtag#planète ♥️
85|1|0|Ce n’est pas le vrai problème. Le vrai est notre manière de consommer qui par ricochet rend prospère une entreprise donc son dirigeant peut voyager en avion personnel.Etes-vous à arrêter d’acheter des produits fabriqués en Chine pour obliger les entreprises à revenir en France ?Plus de basket de grande marque ni de jeans etc.Êtes-vous prêt à acheter du made In France?Etes- vous prêt à investir votre argent pour réellement augmenter votre pouvoir d’achat ou préférez vous  faire semblant d’être riche en achetant des vêtements de luxe et des grosses voitures? Tout cela enrichi un dirigeant donc il a plusieurs entreprises. Du coup, il a besoin de se déplacer plus et plus rapidement et en sécurité.Pensez vous vraiment pouvoir voir monsieur Pinault Prendre le train parmi nous? Il n’a ni le temps ni l’envie.on perd trop de temps et c’est trop dangereux quand on est dirigeant d’entreprise.En revanche, on pourrait rendre obligatoire les récupérateurs d’eaux de pluie. Financer à 100% cela et les travaux thermiques des logements pour les gens, de même pour les énergies renouvelables, voitures électriques et hydrogène.On sera tous plus écologique et on aura plus d’argent.Donc on dépensera plus, du coup l’état aura plus de TVA.
86|2|2| je sais 🙂 tu prêches un convaincu. Je trouve juste que parfois le discours politique n'est pas clair.  Entre défense de ka viande rouge pour tous,  aide pour le fuel..  Faut juste qu'il soit bien clair que l'effort de sobriété doit être global.. Même si je sais que l'empreinte des plus riches est plus importante. Et qu'il sera plus difficile pour les plus pauvres de faire des efforts. Sans être 'riches' les cadres dont nous faisons partie ont une empreinte très largement améliorable. On ne doit pas se reposer sur la 'haine du riche' pour justifier un immobilisme. 
87|0|0|Je te laisse chercher les infos. Mais les jets privés consomment par pers et par km 6 fois plus de CO2 que tous les autres modes de transports réunis. Interdire n'est pas une super solution, mais limiter et demander des raisons valides est une bonne alternative. Ces jets sont utilisés pour tout et n'importe quoi et plein de petits trajets qui consmment à mort (tu as un compte Twitter qui regroupe tout).
88|0|0| je sais 🙂 tu prêches un convaincu. Je trouve juste que parfois le discours politique n'est pas clair.  Entre défense de ka viande rouge pour tous,  aide pour le fuel..  Faut juste qu'il soit bien clair que l'effort de sobriété doit être global.. Même si je sais que l'empreinte des plus riches est plus importante. Et qu'il sera plus difficile pour les plus pauvres de faire des efforts. Sans être 'riches' les cadres dont nous faisons partie ont une empreinte très largement améliorable. On ne doit pas se reposer sur la 'haine du riche' pour justifier un immobilisme. 
89|1|0|Encore une fois, c'est un symbole politique et c'est tout. C'est loin d'être une priorité.Si on veut être efficace on fait fermer la plus grosse centrale électrique à charbon allemande qui produit chaque année davantage de CO2 que tout le transport aérien français. Vérifiez vous serez surpris.Question de priorité, tout ça.
90|1|0|La mesure, sans être totalement marginale dans les chiffres, reste surtout symbolique : Fin de la récréation !!!Il faudrait ensuite balayer devant chacune de nos portes respectives pour bien évaluer ce qui relève de la récréation (destructrice d'environnement) et ce qui est essentiel ...L'heure des choix est venue !!!
91|24|2| ahahha I just love your replies  😘
92|2|0|Noise 🔥
93|1|0| ahahha I just love your replies  😘
94|0|0|On signe ou ?
95|20|15| C'est vous qui avez émis le premier un avis dessus, je ne faisais que vous emboîter le pas 😏 .Quelle idée de me relancer plusieurs jours plus tard d'ailleurs ? Vous aviez envie de vous fritter avec quelqu'un ?
96|18|0|"Ça serait plutôt intéressant de publier des articles sur les émissions générées par des mails aussi au vu qu'on y est."Vous avez bien fait de commenter . Merci pour votre participation au débat.
97|0|0|Votre commentaire est hors sujet, concentrez-vous un peu.
98|0|0| effectivement je me demande si vous êtes trompé de réponse !
99|6|0| Ah non non, je confirme, vous êtes hors sujet. On vous parle climat, vous nous répondez par du whataboutisme, tout en sortant une stat toute pétée de votre chapeau. Vous êtes complètement hors sujet.
100|0|0| si vous le dites.Je vous confirme également que votre critique n'est pas fondée et hors sujet (parlant climat)."Whataboutisme" sérieux ?!Je me demande qu'es ce qui est de plus pétée celle-ci ou votre T shirt ...
101|16|0| Ahlala, ça touche à mon T-Shirt 😅 parce que ça n'a aucun argument. Bon, je vais tâcher d'expliquer puisque ça n'a pas l'air évident. Quand vous dites: "Si 99% des gens qui réagissent à ce sujet ont l'occasion de posséder un jet privé, je pense qu'ils n'hésiterons pas une seconde d'émettre les CO2 au lieu des commentaires et des likes !"Si j'ai bien compris votre message (admettons que j'ai mal compris sa teneur auquel cas vous aurez droit à mes plus plates excuses), vous affirmez sans sourciller que l'immense majorité des gens, s'ils avaient les moyens de posséder un jet privé, l'utiliseraient et émettraient du CO2. C'est une "stat" pétée, qui n'est sortie de nulle part, sinon de votre chapeau. Quand au whataboutisme, en dérivant le sujet sur les "mails", vous êtes en plein dedans, c'est la définition même du whataboutisme. Quand on fait du whataboutisme, on est par définition à côté du sujet du post, donc hors sujet si vous préférez. Si je vous ai mal compris, alors veuillez excuser mon propos, sinon, vous pouvez toujours admirer une deuxième fois mon T-Shirt, qui je le maintiens est magnifique. NB: Notez bien que j'ai été assez élégant pour ne pas critiquer votre gilet ou votre coupe de cheveux.
102|1|0| laisse tomber c’est le genre de personnage à polluer la planète pour penser que voler c’est avoir réussi … c’est comme si tu lui demandais de faire des dons à des associations caritatives pour lui …
103|1|0| Non mais je m'interroge, le monsieur a l'air de penser que je l'ai mal compris. Donc j'explique ce que j'ai compris de son propos histoire de clarifier un peu. La seule chose dont je suis sur le concernant, c'est qu'il n'aime pas mon T-Shirt. Mais je suis sympa, je lui pardonne volontiers ce manque de bon goût.
104|2|0| On va voir, si ça se trouve, je l'ai mal compris.
105|1|0| Votre élégance déborde, pas besoin d'en parler.J'accepte vos excuses. Vous avez initié cette conversation avec une réaction belliqueuse "Votre commentaire est hors sujet, concentrez-vous un peu. " ça fait preuve de quelle argumentation ? votre discours est basé sur quelles preuves ? votre raisonnement -fortement- logique s'appuie sur quelles sources ?Je vous propose qu'on s'arrête là. Parfois, il est impossible d'avoir un débat cartésien à nos sens. Les débats inutiles de ce genre n'aident personne. Comme on dit, "ne vous disputez jamais avec un concentré : il vous fera élever à son niveau et il gagnera par expérience !"Et pendant ce temps là, continuez à provoquer le reste des commentaires. Je vous souhaite une belle continuation.
106|0|0| Mes excuses ne valaient que si mon interprétation de votre propos était erronée, l'était-elle ? Merci de reconnaître mon élégance, cela me touche, avez-vous révisé votre opinion sur mon magnifique T-Shirt ? En attendant votre réponse, je vous souhaite également une bonne continuation.
107|4|0|Je ne comprends pas l'argument "ça génère du business"... on pourra encore générer du business quand notre belle planète sera détruite ? 
108|0|0|Bravo Nicolas Legrand ! enfin un peu de bon sens au milieu de ces commentaires aigris, grisatres, sinistres, résignés ou hargneux mais sans espoir ni imagination !
109|0|0| réviser mon opinion ! Sur votre T-shirt ? 😂Je vous rappelle que l'objet de votre réaction était dans le cadre de l'article, qui évoque des sujets autres que les avis des gens sur votre sublime T-shirt ?Concentrez vous un peu monsieur le gérant.Il me semble que c'est mon tour pour vous dire que vous êtes pleinement hors sujet.
110|0|0| C'est vous qui avez émis le premier un avis dessus, je ne faisais que vous emboîter le pas 😏 .Quelle idée de me relancer plusieurs jours plus tard d'ailleurs ? Vous aviez envie de vous fritter avec quelqu'un ?
111|1|0|belle illustration d’un magnifique avion Americain😍😍😍
112|0|0| 🍿🍿🍿
113|0|0|Celui-là même qui à tenté l'amendement sur l'huile de friture comme carburant. Non merci. L'intention est louable mais la mise en pratique irréalisable et dommageable pour ceux qui (comme moi) roulent déja avec un déchet comme carburant.Donc s'il fait pareil sur les jets privés, peut de chances que cela passe. Politique = bonnes questions ?
114|5|0|Je suis pour forcer les élus à prendre Ryanair sans le speedy boarding, un baggage cabine trop grand,  et les faire atterrir à Paris Beauvais 🤌🚀 Chaque élu devrait ensuite prendre la navette jusqu’à Porte Maillot. Et si on est fous, un RER😰😨Ce serait une sorte de Koh Lanta ministériel, AKA une immersion dans la vie des gens à peu près normaux.
115|2|0|
